mobleyID,pol,psa,n_donors,nrotb,group_id,dG_exp,n_acceptors,logP
mobley_7532833,-7.491407543629443,23.79,0,0,7.0,-3.88,1,0.52988
mobley_2198613,-1.497948040652958,0.0,0,0,4.0,-0.63,0,1.2451
mobley_9257453,-9.095077092077156,20.23,1,0,5.0,-7.29,1,2.6990000000000003
mobley_755351,-13.40914776604,35.25,1,1,5.0,-7.29,2,1.2774
mobley_9729792,-3.356424945256065,0.0,0,0,8.0,-0.99,0,2.0587
mobley_7203421,-14.456131681385234,43.09,1,4,7.0,-9.31,1,1.052
mobley_3167746,-0.0632247625643836,0.0,0,5,4.0,2.88,0,3.3668000000000022
mobley_1967551,-8.85593087462772,17.07,0,0,1.0,-3.5,1,0.2052
mobley_6522117,-98.88141911481378,44.760000000000005,0,7,5.0,-7.07,4,5.7283000000000035
mobley_6353617,-16.828288737344312,29.96,0,1,5.0,-8.26,2,1.2842
mobley_547634,-5.261152931877442,0.0,0,0,5.0,-2.78,0,3.456640000000002
mobley_3968043,-7.56490677282509,17.07,0,0,1.0,-4.7,1,1.1295
mobley_5631798,-11.739290828381204,35.0,1,0,8.0,-4.29,1,0.1619999999999999
mobley_7463408,-13.522340676763555,29.1,1,2,5.0,-7.78,1,3.3419000000000016
mobley_4603202,-7.35798376762252,9.23,0,4,8.0,-4.23,1,1.4806
mobley_2328633,-0.1045060423573191,0.0,0,4,6.0,2.55,0,3.7569000000000026
mobley_9460824,-24.37443033662777,18.46,0,8,8.0,-4.37,5,3.727700000000003
mobley_1424265,-3.3027986652674146,0.0,0,0,5.0,-0.83,0,2.30344
mobley_242480,-27.543368767980073,86.17999999999999,2,0,5.0,-11.85,4,1.6263999999999998
mobley_994483,-1.7139285651432687,0.0,0,0,4.0,-0.74,0,1.4012
mobley_6714389,-8.21630491977901,26.02,1,0,8.0,-4.55,1,-0.4251
mobley_2451097,-8.325460533094782,23.79,0,0,5.0,-4.1,1,1.55828
mobley_313406,-6.600122376095155,20.23,1,1,0.0,-4.85,1,0.3887
mobley_2364370,-9.471315643858992,26.3,0,3,3.0,-2.64,2,1.3496
mobley_5538249,-4.68205297140092,0.0,0,1,5.0,-2.16,0,5.313800000000001
mobley_7066554,-9.698932894585807,20.23,1,0,5.0,-7.03,1,2.0456000000000008
mobley_2913224,-21.48862765881414,63.60000000000001,1,2,5.0,-9.94,3,1.3101
mobley_5852491,-0.1345037009755059,0.0,0,0,6.0,1.59,0,2.1965000000000003
mobley_5747188,-6.3100313056597646,49.36,0,1,5.0,-3.58,3,1.79702
mobley_6359156,-5.167986471904459,0.0,0,1,5.0,-2.46,0,4.660400000000001
mobley_7794077,-33.086753055754855,65.72,2,0,8.0,-15.46,2,0.0819999999999999
mobley_7227357,-5.245973104250449,20.23,1,2,0.0,-4.35,1,1.1673
mobley_7599023,-4.095957478008097,0.0,0,0,5.0,-1.46,0,2.4491000000000005
mobley_3976574,-4.48126124836717,18.46,0,0,5.0,-4.15,2,6.8515999999999995
mobley_4434915,-1.967580572146589,0.0,0,0,4.0,-0.55,0,0.855
mobley_4252724,-3.138553029683163,0.0,0,2,5.0,0.16,0,2.8851000000000013
mobley_8525830,-3.315926801275301,0.0,0,3,4.0,-0.14,0,2.611600000000001
mobley_1323538,-103.11605507515031,44.760000000000005,0,6,8.0,-7.5,4,2.2039999999999997
mobley_3259411,-19.33351468908228,60.69,3,2,8.0,-13.43,3,-1.6681
mobley_1858644,-9.899209283811963,20.23,1,2,5.0,-6.79,1,1.2213999999999998
mobley_7375018,-7.678723721002324,17.07,0,8,1.0,-2.15,1,3.716100000000002
mobley_4375719,-0.0593471170867603,0.0,0,6,4.0,3.13,0,3.7569000000000026
mobley_7364468,-8.375847689078135,17.07,0,0,8.0,-5.18,1,2.3218000000000005
mobley_1199854,-3.4434493027782103,0.0,0,1,4.0,-0.53,0,1.8314
mobley_2178600,-0.8591980409309038,0.0,0,3,4.0,-0.1,0,2.415400000000001
mobley_3325209,-12.066318524127167,27.69,0,4,5.0,-4.04,3,1.7360999999999998
mobley_3639400,-1.1270345826643018,0.0,0,2,4.0,-0.16,0,2.0253
mobley_7769613,-0.5554634015156433,0.0,0,0,4.0,0.84,0,2.1798
mobley_1781152,-8.563458454706671,26.3,0,0,3.0,-2.4,2,1.2055
mobley_5347550,-8.988812435973175,9.23,0,2,8.0,-1.12,1,2.0293
